name,address,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Khách sạn Bonka Luxury (Bonka Hotel Luxury Quan 5 HCM),"884 Trần Hưng Đạo, phường 7, Quận 5 Khách sạn Bonka Quận 5 Thành phố Hồ Chí Minh, Quận 5, Hồ Chí Minh, Việt Nam","7,7",134,8.5,8.4,8.0,7.8,7.8,1,0,0,0,1,0,1,1,1,Không có giá trước,453.704
Nhà dân Đồi Sao (Doi Sao Homestay),"Room 401, No. 17 Nguyen Duy Trinh, Binh Trung Tay Ward, District 2, Thu Duc City, Ho Chi Minh City, Quận 2, Hồ Chí Minh, Việt Nam","8,7",257,8.9,9.2,9.0,8.8,9.0,0,0,0,0,0,0,0,1,1,450.670,368.135
An Lâm Retreats Saigon River (An Lam Retreats Saigon River),"21/4 Khu Phố Trung, Phường Vĩnh Phú, Vinh Phú, Thuận An, Việt Nam, 70000","8,9",1591,8.5,9.4,8.7,9.0,9.3,1,1,0,0,1,1,1,1,1,12.719.990,4.699.550
Warm Nest,"Đ. Phùng Văn Cung, Phường 7 Phú Nhuận, Warm Nest, Phú Nhuận, Hồ Chí Minh, Việt Nam","9,4",63,9.6,9.7,9.6,9.7,9.6,1,0,0,0,0,0,0,1,1,Không có giá trước,Không có giá sau
The Shilla Luxury I Hotel,"No. 75, Pham Khiem Ich, Phu My Hung Urban Area, Tan Phong Ward, District 7, Vietnam, Quận 7, Hồ Chí Minh, Việt Nam, 70000","8,1",304,8.6,8.3,8.1,7.5,8.1,1,0,0,0,1,0,1,1,1,Không có giá trước,Không có giá sau
"VIHOMES MASTERI - Complex ""Centre Point, Lumiere Boulevard"" - Free pool, gym, Yoga room","Masteri Centre Point, N2 Street, Long Thanh My, District 9, Ho Chi Minh 700000, Vietnam, Quận 9, Hồ Chí Minh, Việt Nam, 70000","8,0",9,8.6,8.6,8.6,9.4,9.4,1,0,1,1,1,1,1,1,1,1.443.694,808.558
Masteri Thao Dien Serviced Apartment,"Đường D1A, Quận 2, Hồ Chí Minh, Việt Nam, 700000","8,6",179,9.1,8.9,8.8,8.8,8.5,1,1,1,1,1,1,1,1,1,2.133.208,969.427
"Căn hộ 66 m² 2 phòng ngủ, 2 phòng tắm riêng ở Quận 7 (Anna's house Ecogreen Saigon D7 with a nice view)","Quận 7, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,Không có giá trước,1.587.188
"Nhà riêng 92 m² 2 phòng ngủ, 2 phòng tắm riêng ở Quận 4 (Luxury & Classy Homestay with Rooftop-Chill View)","Quận 4, Hồ Chí Minh, Việt Nam","7,4",3,9.0,8.0,9.0,9.0,8.0,1,0,0,1,0,1,0,1,1,Không có giá trước,Không có giá sau
Chung cư studio 35 m² có 1 phòng tắm riêng ở Quận 1 (Tropical Studio | Bathtub | 5★ Views by CIRCADIAN),"Quận 1, Hồ Chí Minh, Việt Nam","9,8",253,9.5,9.9,9.6,Không có,9.7,1,0,0,1,0,1,0,0,0,1.186.180,732.329
"Căn hộ 95 m² 2 phòng ngủ, 2 phòng tắm riêng ở Quận 4 (Dreaming Suite 2bedrooms Zenity Apartment D1)","Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,3.901.946,3.119.810
1118 Quang Trung Hotel,"1118 Đ. Quang Trung, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000","7,5",127,7.8,7.7,7.4,6.8,7.7,1,1,0,0,1,0,1,1,1,Không có giá trước,2.113.753
"Nhà riêng 80 m² 1 phòng ngủ, 2 phòng tắm riêng ở Quận 4 (Spacious 2 bedroom with nice D7 view Sunrise North)","Quận 7, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,0,0,0,0,1.600.000,1.383.760
Nest Hotel,"100/2A3 Đường Trần Hưng Đạo, Nest Hotel, Quận 1, Hồ Chí Minh, Việt Nam","8,5",399,8.3,8.2,7.9,7.4,7.9,1,0,0,0,0,1,1,1,1,Không có giá trước,Không có giá sau
"Căn hộ 54 m² 1 phòng ngủ, 1 phòng tắm riêng ở Bình Thạnh (1 Bedroom Apartment Landmark Vinhome)","208 Đ. Nguyễn Hữu Cảnh, Vinhomes Tân Cảng, Landmark 2 , Bình Thạnh, Hồ Chí Minh, Việt Nam, 72324",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,1,1,3.227.570,2.033.057
"Căn hộ 140 m² 4 phòng ngủ, 3 phòng tắm riêng ở Quận 5 (The Perfect Accommodation 4Br)","Quận 5, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,0,0,0,1,12.453.764,7.807.733
"Rivergate Residence - Goby Home - Lux apartment, near Ben Thanh","151 Bến Vân Đồn, Quận 4, Hồ Chí Minh, Việt Nam","6,8",19,8.5,7.5,6.5,6.0,7.5,1,0,1,1,1,1,1,1,1,1.169.306,1.029.630
Ha Do Centrosa - Minimalism at City Center,"200 3/2 Street, Ward 12, Quận 10, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,0,1,1,0,1,1,2.636.126,2.325.300
Qhome,"283/58 CMT8 , P12 quận 10., Quận 10, Hồ Chí Minh, Việt Nam","8,1",403,8.3,7.8,7.7,7.7,7.9,1,0,0,0,0,0,1,1,1,Không có giá trước,714.780
"Căn hộ 32 m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 4 (Mike House#T41 - Stu near District 1, free Netflix)","Quận 4, Hồ Chí Minh, Việt Nam","4,2",2,6.0,8.0,5.0,4.0,6.0,1,0,0,1,0,0,0,0,1,1.804.560,1.458.507
HỒNG PHÁT HOTEL,"No. 81-83 Ong Ich Khiem, Ward 10, District 11, Ho Chi Minh City, 81-83 Ông Ích Khiêm, Phường 10, Quận 11, TP.HCM, Quận 11, Hồ Chí Minh, Việt Nam, 72600","8,1",157,8.3,8.3,7.7,7.0,7.4,1,0,0,0,1,0,1,1,1,Không có giá trước,Không có giá sau
Ha Bao Chau Hotel Tan Binh,"No. 3, Le Tan Quoc, Ward 13, Vietnam, Tân Bình, Hồ Chí Minh, Việt Nam, 700000","8,5",35,9.3,9.1,8.6,8.9,9.5,0,0,0,0,1,0,1,1,1,550.000,330.400
"Căn hộ 80 m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 1 (Charlotte De Saigon Studio 1Bed Ben Thanh Tower)","Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,0,0,0,0,4.308.398,3.444.790
D1MENSION Luxury Apartment City Center,"D1Mension Residences, 608 Vo Van Kiet St, Cau Kho, Ho Chi Minh City, D1Mension Residences Ho Chi Minh City, Quận 1, Hồ Chí Minh, Việt Nam, 700000","9,1",6,9.6,9.2,9.2,8.8,8.4,0,0,0,0,0,0,1,1,0,Không có giá trước,Không có giá sau
Japan Luna Hotel,"12 GS3, KP tây B, Japan Luna Hotel, Thủ Đức, Hồ Chí Minh, Việt Nam","4,8",1,4.0,4.0,4.0,4.0,8.0,0,0,0,0,0,0,1,1,1,1.368.081,357.605
"Nhà mặt đất 20 m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận Tân Bình (P9Cozy private room w private balcony near Airport)","Tân Bình, Hồ Chí Minh, Việt Nam","9,1",3,9.0,9.0,10.0,9.0,10.0,0,0,0,1,0,0,0,0,0,44.091.710,43.369.929
"Căn hộ 55 m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 7 (Ascentina Apartment Phú Mỹ Hưng)","Quận 7, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,0,0,0,0,0,1,Không có giá trước,2.046.742
"Căn hộ 65 m² 2 phòng ngủ, 2 phòng tắm riêng ở Quận 4 (Scandinavian Apartment - FREE Pool & Gym)","Quận 4, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,1,1.952.863,1.807.906
"Nhà riêng 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Vinhome Grand Park Homestay - ZEN Garden House)","Room S10.03, Origami, Vinhomes Grand Park, Long Binh, District 9 (Thu Duc City), Toà S10.03, Origami , Vinhome Grand Park, Quận 9, Hồ Chí Minh, Việt Nam, 71217",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,1,1,0,1,1,1,1,1,Không có giá trước,454.963
"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 4 (Summerset River Gate 1Bedroom D1 Bui Vien)","Quận 4, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,1,2.307.434,1.437.058
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ 1 Phòng Ngủ+ B.08.02)","Quận 9, Hồ Chí Minh, Việt Nam",10,1,10.0,10.0,10.0,10.0,10.0,1,0,0,1,0,1,0,0,0,1.385.588,853.825
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ 1 Phòng Ngủ + E1.10.02)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,Không có giá trước,1.383.760
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ 1 Phòng Ngủ + E2.34.06)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,1.385.588,853.825
Dung India Hotel,"No. 105, Hoang Hoa Tham, Ward 13, Tan Binh, Tân Bình, Hồ Chí Minh, Việt Nam","8,0",38,9.0,9.5,8.5,8.0,8.0,0,0,0,0,1,0,1,1,1,Không có giá trước,Không có giá sau
"Nhà riêng m² 3 phòng ngủ, 2 phòng tắm riêng ở Quận 4 (OFF 33%| 3 bedroom Apt in D1 Free Pool/Gym/Sauna)","Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,1,1,4.500.000,2.612.840
"Nhà riêng 75 m² 2 phòng ngủ, 2 phòng tắm riêng ở Quận 9 (Căn hộ 2 phòng ngủ + E2.04.09)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,1.385.588,853.825
"Nhà riêng m² 2 phòng ngủ, 2 phòng tắm riêng ở Quận 4 (Large 6 paxs 2bedroom apartment at centre*poolgym)","Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,1,0,3.135.338,1.974.873
"Nhà riêng m² 1 phòng ngủ, 4 phòng tắm riêng ở Quận 4 (6 Bedroom 5*Split Floor in D1 Spacious for Family)","Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,1,1,9.499.983,5.515.987
"Căn hộ 120 m² 3 phòng ngủ, 2 phòng tắm riêng ở Quận 1 (Penthouse Panoramique 3BR Ben Thanh Tower)","Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,0,0,0,0,9.511.490,7.600.821
"Căn hộ 75 m² 2 phòng ngủ, 2 phòng tắm riêng ở Phước Kiển (Saigon South Hanok Residence)","Phước Kiển, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,0,0,0,0,0,0,0,0,0,3.500.000,2.106.431
Khách sạn Ánh Nguyệt 1 (Khach san Anh Nguyet 1),"86 Đường Trần Khắc Chân, Quận 1, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,0,0,0,0,0,0,0,1,1,457.771,351.852
"Căn hộ 40 m² 1 phòng ngủ, 1 phòng tắm riêng ở Phú Nhuận (Botanica Premier Luxury Apartment - Tan Binh District)","Phú Nhuận, Hồ Chí Minh, Việt Nam","8,6",2,8.0,10.0,9.0,8.0,8.0,1,0,0,1,0,1,0,0,1,Không có giá trước,798.821
Khách Sạn Lộc Thọ (Khach San Loc Tho),"254 Tây Thạnh 5, Tân Phú, Hồ Chí Minh, Việt Nam, 70000",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,0,0,0,0,0,0,0,1,1,Không có giá trước,416.667
Ahu Homestay,"1/6 Nguyen Van Trang street, Pham Ngu Lao ward, district 1, Ho Chi Minh city , Quận 1, Hồ Chí Minh, Việt Nam, 700000","8,2",299,8.4,7.8,7.6,7.4,7.8,0,0,0,0,0,0,0,1,0,368.237,274.353
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ Lumiere 1 PN+ B.10.08)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,Không có giá trước,1.295.172
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ 1 Phòng Ngủ + E2.23.07)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,Không có giá trước,1.295.172
Cho thuê căn hộ cao cấp Diamond skyvila cao cấp 3pn2wc 1 gara oto (Cho thue can ho cao cap Diamond skyvila cao cap 3pn2wc 1 gara oto),"Tân Phú, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,Không có giá trước,5.454.545
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ 1 Phòng Ngủ+ D.24.04)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,1.385.588,853.825
"Căn hộ 80 m² 2 phòng ngủ, 2 phòng tắm riêng ở Bình Thạnh (Akela Vinhomes Central Park Apartments)","Bình Thạnh, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,1,Không có giá trước,3.700.721
"Nhà riêng m² 1 phòng ngủ, 1 phòng tắm riêng ở Quận 9 (Căn hộ 1 Phòng Ngủ+ D.24.04)","Quận 9, Hồ Chí Minh, Việt Nam",Không có điểm đánh giá,Không có số nhận xét,Không có,Không có,Không có,Không có,Không có,1,0,0,1,0,1,0,0,0,1.385.588,853.825
