name,address,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Khách sạn Renaissance Riverside Sài Gòn (Renaissance Riverside Hotel Saigon),"8-15 Tôn Đức Thắng , Quận 1, Hồ Chí Minh, Việt Nam, 0084 28 3822 0033","8,5",1218,9.1,8.7,Không có,Không có,8.7,1,1,1,0,1,1,1,1,1,5.192.098,4.500.000
Bear's House Su Van Hanh,"525/11A Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam, 72510","8,8",80,10.0,10.0,Không có,10.0,10.0,0,0,0,0,1,0,0,1,1,886.150,372.015
Yoko Airport Saigon Hotel,"No. 43-45 Yen The, Ward 2, Tan Binh, Ho Chi Minh City, Tân Bình, Hồ Chí Minh, Việt Nam","7,9",1531,8.6,8.5,8.1,7.5,8.0,0,0,0,0,1,0,1,1,1,Không có giá trước,879.630
UNU C&B homestay,"No. 257bis, Le Van Sy Street, Ward 14, Phú Nhuận, Hồ Chí Minh, Việt Nam, 77777","9,0",174,9.4,9.4,9.2,9.0,9.5,1,0,0,0,0,0,0,1,0,750.000,310.741
Khách sạn New World Saigon (New World Saigon Hotel),"76 Lê Lai , Phường Bến Thành, Quận 1, TP. Hồ Chí Minh, Việt Nam, Quận 1, Hồ Chí Minh, Việt Nam, 700000","8,7",6139,9.1,8.8,8.3,8.6,8.8,1,1,0,0,1,1,1,1,1,Không có giá trước,Không có giá sau
Pharaon Hotel 2,"102/1 Cống Quỳnh, Quận 1, Hồ Chí Minh, Việt Nam, 70000","8,2",999,8.5,8.3,8.4,Không có,8.4,0,0,0,0,0,0,0,1,0,950.000,480.686
Khách sạn Hà My (Ha My Hotel),"32 đường số 6, phường Linh Trung, quận Thủ Đức, thành phố Hồ Chí Minh (gần trường ĐH Ngân Hàng trên đường Hoàng Diệu 2), Thủ Đức, Hồ Chí Minh, Việt Nam, 700000","8,0",398,8.4,8.2,8.2,7.9,8.2,1,0,0,0,0,0,1,1,1,360.887,308.282
MG Rosé Boutique Hotel,"No. 6, 283, Pham Ngu Lao, Phuong Pham Ngu Lao, Quận 1, Hồ Chí Minh, Việt Nam","7,9",213,9.0,8.3,7.9,Không có,7.8,0,0,0,0,0,0,0,1,0,553.028,366.848
Vinhome Grand Park HCM,"Vinhome Grand Park. 512 Nguyen Xien str., Long Thanh My ward , Thu Duc city, Ho Chi Minh city, Quận 9, Hồ Chí Minh, Việt Nam","7,8",216,8.1,8.3,8.0,7.8,8.1,1,0,0,0,0,1,0,1,1,392.297,248.670
Victory Hotel Saigon,"141 Nam Kỳ Khởi Nghĩa, Quận 3, Quận 3, Hồ Chí Minh, Việt Nam, 70000","7,8",3571,8.5,7.9,7.9,Không có,7.8,1,1,0,0,1,1,1,1,1,2.312.400,1.075.225
Khách Sạn Mari Queen (Mari Queen Hotel),"158B Bui Thi Xuan, Pham Ngu Lao ward, Quận 1, Hồ Chí Minh, Việt Nam, 70000","8,5",1531,9.0,9.0,8.5,8.2,8.6,1,0,0,0,1,0,1,1,1,2.866.649,570.351
