name,address,review_score,review_count,Vị trí,Dịch vụ,Đáng giá tiền,Cơ sở vật chất,Độ sạch sẽ,bep,bua_sang,san_gon,may_giat,dua_don_san_bay,phong_tap,don_phong_hang_ngay,duoc_phep_mang_thu_nuoi,bai_do_xe,Giá trước,Giá sau
Bear's House Su Van Hanh,"525/11A Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Hồ Chí Minh, Việt Nam, 72510","8,8",80,10.0,10.0,10.0,10.0,10.0,0,0,0,0,1,0,0,1,1,Không có giá trước,514.583
VND HOTEL,"66 Nguyễn Gia Trí, VND HOTEL, Bình Thạnh, Hồ Chí Minh, Việt Nam","7,9",362,6.4,6.9,5.5,5.2,5.1,1,0,0,0,0,0,1,1,1,Không có giá trước,366.667
B-HOMEAWAY,"122/6 Trần Đình Xu, Quận 1, Hồ Chí Minh, Việt Nam","6,2",180,7.3,6.5,6.7,6.0,5.7,0,0,0,0,0,0,0,1,1,Không có giá trước,416.667
Khu căn hộ cao cấp Sherwood Residence (Sherwood Residence),"127 Pasteur, Quận 3 , Quận 3, Hồ Chí Minh, Việt Nam, 700000","9,1",5017,8.9,9.3,9.2,9.1,9.3,1,1,0,1,1,1,1,1,0,Không có giá trước,Không có giá sau
Khách sạn Minh Anh Gò Vấp (Khách sạn Minh Anh Gò Vấp ),"No. 65, Street No. 1, Thong Nhat, Ward 11, Go Vap, Ho Chi Minh City, Gò Vấp, Hồ Chí Minh, Việt Nam, 700000","8,3",155,8.8,9.2,8.8,8.3,8.5,0,0,0,0,0,0,1,1,1,333.333,324.074
Tropical House,"413/37A Lê Văn Sỹ, Phường 12, Quận 3, TP. HCM, Quận 3, Hồ Chí Minh, Việt Nam, 700000","7,9",418,8.4,8.5,8.3,8.1,8.4,1,0,0,1,1,0,1,1,1,Không có giá trước,555.556
Queen Hotel Saigon Airport,"93 Lam Son, Ward 2, Tân Bình, Hồ Chí Minh, Việt Nam, 70000","7,3",1118,8.2,7.9,7.2,6.6,6.8,1,0,0,0,0,0,1,1,1,1.058.852,400.362
Khách sạn Hoàng Hà - Lê Hồng Phong (Hoang Ha Le Hong Phong Hotel),"793 Lê Hồng Phong, Phường 12, Quận 10, Quận 10, Hồ Chí Minh, Việt Nam","7,7",25,9.1,8.7,8.5,7.8,8.2,0,1,0,0,1,1,0,1,1,Không có giá trước,351.852
Vinhome Grand Park HCM,"Vinhome Grand Park. 512 Nguyen Xien str., Long Thanh My ward , Thu Duc city, Ho Chi Minh city, Quận 9, Hồ Chí Minh, Việt Nam","7,8",218,8.2,8.4,8.0,7.9,8.1,1,0,0,0,0,1,0,1,1,593.969,275.735
Khách sạn Lê Ngân Phùng (Le Ngan Phung Hotel),"Alley 79, Hoa Sữa, P.7, Q.Phu Nhuan, Ho-Chi-Minh, Phú Nhuận, Hồ Chí Minh, Việt Nam, 700000","6,7",243,7.3,7.0,6.9,6.3,6.5,1,0,0,0,0,0,1,1,1,Không có giá trước,Không có giá sau
Khách sạn Hương Mai GA SAI GON,"204 Nguyễn Phúc Nguyên, Hương Mai, Quận 3, Hồ Chí Minh, Việt Nam","8,0",114,9.3,9.2,9.1,8.7,9.3,0,0,0,0,0,0,1,1,1,Không có giá trước,509.259
KHÁCH SẠN LA VELA SÀI GÒN (LA VELA SAIGON HOTEL),"Nam Kỳ Khởi Nghĩa, Quận 3, Hồ Chí Minh, Việt Nam, 700000","8,9",25251,8.9,9.2,9.0,9.2,9.2,1,1,1,0,1,1,1,1,1,23.758.434,9.337.434
Khách Sạn & Căn Hộ T-Ritz Sài Gòn (T-Ritz Saigon Hotel & Apartment),"20 - 22 Phạm Ngọc Thạch, Quận 3, Thành phố Hồ Chí Minh, Việt Nam, Quận 3, Hồ Chí Minh, Việt Nam, 700000","8,8",3882,8.8,8.8,8.8,8.4,9.2,1,1,1,0,1,1,1,1,1,5.487.631,2.095.238
Felix Garden Hotel,"908 Tạ Quang Bửu, Phường 5, Quận 8, Quận 8, Hồ Chí Minh, Việt Nam, 70000","7,0",162,7.0,7.3,7.3,6.5,6.7,0,0,0,0,0,0,0,1,1,650.000,278.651
Arista 5 - Serviced Apartment,"2 Ngô Văn Năm, Quận 1, Hồ Chí Minh, Việt Nam","7,5",444,8.7,7.9,7.9,7.6,7.7,0,0,0,0,0,0,0,1,0,760.983,600.000
Triple E Hotel Metro Ben Thanh,"146 Đ. Ký Con, Quận 1, Hồ Chí Minh, Việt Nam, 700000","8,8",5089,9.2,9.2,9.0,8.6,9.2,1,1,0,0,0,1,1,1,0,Không có giá trước,Không có giá sau
Ngọ house,"132 Ngô Thị Thu Minh, Tân Bình, Hồ Chí Minh, Việt Nam, 700000","8,1",495,8.7,8.9,8.6,8.4,8.6,1,0,0,0,0,0,1,1,1,Không có giá trước,694.444
Cali Homestay,"No. 4, 59, Dinh Bo Linh, Ward 26, Binh Thanh District, Bình Thạnh, Hồ Chí Minh, Việt Nam, 70000","8,1",519,7.9,8.3,7.8,7.7,7.8,0,0,0,0,0,0,0,1,1,622.563,449.719
Victory Hotel Saigon,"141 Nam Kỳ Khởi Nghĩa, Quận 3, Quận 3, Hồ Chí Minh, Việt Nam, 70000","7,8",3588,8.5,7.9,7.9,7.5,7.8,1,1,0,0,1,1,1,1,1,2.521.005,1.140.570
ACE Hotel,"139H, Nguyễn Trãi, Bến Thành Ward, Quận 1, Hồ Chí Minh, Việt Nam, 70000","7,2",1298,8.0,7.5,7.3,6.5,7.1,1,1,0,0,0,0,1,1,0,2.563.492,438.402
Khách sạn Thượng Hải (Thuong Hai Hotel),"93 Ngô Quyền, phường 11, quận 5 , tp hồ chí minh, Quận 5, Hồ Chí Minh, Việt Nam","7,3",158,7.4,7.2,7.2,6.5,7.0,0,0,0,0,0,0,1,1,1,Không có giá trước,324.074
Cozrum Homes - Sonata Residence,"No. 41, Nguyen Thi Thap, Tan Phu Ward, District 7, Quận 7, Hồ Chí Minh, Việt Nam","7,4",5076,7.6,7.8,7.7,7.4,7.3,1,1,1,0,0,1,1,1,1,2.000.000,617.375
Khách Sạn King Sài Gòn Sân Bay (King Hotel Saigon Airport),"25/22 Cuu Long Street, Ward 2 , Tan Binh District. Hcm City, Tân Bình, Hồ Chí Minh, Việt Nam, 700000","7,3",723,7.9,7.9,7.5,7.0,7.2,1,1,0,0,1,0,1,1,1,1.051.204,391.018
Townhouse District 10 Near Children Hospital 1 Formerly Cuong Thanh 3 Hotel,"252/43-45 Cao Thang, Phuong 12, Quan 10, Ho Chi Minhnullnull, Ho-Chi-Minh, Quận 10, Hồ Chí Minh, Việt Nam, 550000","7,8",74,7.9,8.4,8.0,8.2,7.9,1,0,0,0,0,0,1,1,1,2.073.261,523.607
Nhà Feli - Gần Landmark 81 (Feli Home - Close to Landmark 81),"Nguyễn Hữu Cảnh 180 180/52 Nguyễn Hữu Cảnh, Bình Thạnh, Hồ Chí Minh, Việt Nam","7,4",51,8.4,8.2,7.9,7.5,8.1,1,1,0,1,1,0,1,1,1,Không có giá trước,267.273
The Concept Hotel HCMC- City Center,"No. 160 Bis, Bui Thi Xuan Street, Phuong Pham Ngu Lao, Quận 1, Hồ Chí Minh, Việt Nam, 000000","8,9",1752,9.2,9.4,9.2,8.9,9.2,0,0,0,1,0,1,1,1,0,Không có giá trước,Không có giá sau
